Zip Code,Age: 20-30,Age: 30-45,Age: 45-60,Age: 60+,Race: White,Race: Black/African American,Race: American Indian and Alaska Native,Race: Asian,Race: Hawaiian and Pacific Islander,Education: Below Middle School,Educatiohn: High School,Education: College,Education: Graduate and Above,"Income: Less than 10,000","Income: Between 10,000 to 19,999","Income: Between 20,000 to 34,999","Income: Between 35,000 to 49,999","Income: Between 50,000 to 74,999","Income: More than 75,000",Employment: Employed,Employment: Unemployed,Employment: Not In Labor Force,Insurance: 2 or More,Insurance: One,Insurance: No,Transportation: Cars,Transportation: Public,Transportation: Motor
33199,2659,0,0,0,1439,979,0,88,0,0,517,1839,18,0,0,0,0,0,0,743,205,1711,158,2287,214,323,10,0
33234,840,1228,984,1499,4573,41,0,183,0,48,341,2237,1041,208,298,299,228,488,1228,2780,155,1564,639,3912,392,2188,131,0
33247,645,596,737,567,743,1884,0,0,0,148,964,651,29,62,132,237,152,84,147,1319,85,1124,344,1902,872,1029,162,0
33256,1248,952,1168,1084,4211,83,0,793,0,54,515,1971,819,51,108,49,116,170,996,2684,155,1548,576,4026,729,2277,105,0
33257,1139,1018,1235,592,3684,489,0,515,0,167,852,1652,239,13,81,208,197,208,722,2479,130,1235,547,3717,752,2273,75,0
33283,318,689,655,624,2323,23,0,235,0,114,474,1040,206,45,70,109,103,253,460,1485,43,722,274,2504,133,1345,20,0
33301,2015,2406,3400,3275,10510,823,45,83,0,200,1668,5935,2194,327,593,649,683,949,3186,6898,407,3770,1574,9483,854,5627,58,0
33302,1445,1508,1238,772,996,5034,0,147,28,120,2241,1424,168,347,438,498,464,245,369,2832,549,1500,746,4429,1124,2114,311,0
33304,1422,2484,2961,3435,10495,464,81,196,10,104,1666,4989,2351,339,524,675,918,895,2807,6791,297,3056,1880,8717,1021,5649,81,15
33305,4504,5122,8684,7355,20228,6887,17,419,34,674,6717,12340,3157,726,1141,1695,1826,2410,5287,16148,1253,8005,4119,20113,3883,12496,927,12
33306,1322,1870,2578,4278,9210,935,20,432,0,173,2156,4608,1538,432,513,792,756,871,2251,5415,336,4173,2508,7286,1163,4183,201,3
33308,3268,4544,7215,10989,25153,1268,95,729,10,466,5859,12668,3727,729,1082,2271,1804,2168,6389,14783,767,10156,5200,20166,2826,12070,276,5
33309,7776,9358,9126,6494,18446,16409,135,918,0,1285,11007,10904,2105,835,1278,2359,2214,2692,3903,21168,2299,8824,4235,26147,9116,17987,976,155
33310,1078,1061,812,1182,525,4472,0,31,0,330,1955,969,229,164,348,272,146,367,279,1850,291,1942,1039,3486,896,1587,118,0
33311,7561,7532,7582,7822,7984,29341,78,467,0,1700,12692,9588,877,1662,1856,2471,2198,1999,2372,16339,2330,11361,4491,28115,6772,13270,1621,0
33312,12892,13890,13048,11920,36919,22144,85,1481,0,1108,16837,19086,4231,1826,2422,3434,3006,3667,7797,30862,2513,17682,6456,45518,11620,25970,1011,41
33313,14549,12834,12707,13546,11013,53259,192,496,0,2562,19496,15199,2394,2338,3500,4902,3597,3832,3736,30430,3087,19160,7028,45518,14140,25008,2631,53
33314,4756,4024,4569,4802,12363,5802,77,666,0,578,6136,6618,762,793,851,1726,1247,1389,2151,10649,825,6445,2468,15262,3833,9314,188,0
33315,2167,2048,3111,2069,9138,444,44,76,40,205,2335,4399,801,224,397,763,473,869,1907,6493,256,2458,943,7508,1996,5654,67,27
33316,2012,2528,3282,4807,11631,1371,10,185,0,128,2910,6237,1928,421,608,814,765,997,2897,7102,344,5163,2251,9931,1505,5310,312,95
33317,11175,8505,7997,7957,20895,18764,242,1493,22,941,8688,15555,2239,1174,1472,1850,2073,2390,4553,20459,1818,12984,4481,30620,9720,17416,729,28
33319,9837,10424,10342,10771,17505,29342,87,1520,0,1099,12875,15212,2117,1258,2377,3622,3223,3860,4268,24991,2575,13099,6422,35734,8730,22244,995,18
33321,2826,3978,3988,9971,17426,5134,148,646,0,433,6408,9368,2153,572,899,1983,1522,2128,3220,10399,653,9587,4797,17127,1982,9242,311,16
33322,6538,7353,8210,13282,28751,8442,96,1626,0,1046,9284,15893,3353,1112,1857,2819,2237,2804,5637,19847,904,14406,6008,31223,3926,18201,185,15
33323,2063,2466,2549,1964,8232,1789,9,288,0,237,2450,4193,720,125,182,336,371,823,1890,6026,441,2418,1291,8451,1006,5618,36,0
33324,8524,9158,9190,10011,33209,4671,15,1807,76,581,7654,17594,4852,831,1073,1682,2093,3031,8102,24081,1224,10742,4911,34468,4333,21166,324,146
33325,5234,5688,6154,4045,20315,2926,8,1447,39,364,4978,9290,2131,323,572,678,939,1347,4450,14030,700,6229,2528,20780,2787,12232,173,127
33326,6467,8251,9639,7537,32431,2040,20,2068,7,571,5560,13677,4472,466,519,1197,1212,2233,7301,20085,915,10113,4184,31809,3316,17521,245,0
33327,2661,2171,4497,1969,13190,450,0,351,0,62,1111,4490,2150,158,94,188,252,587,3036,6274,215,4502,1257,12728,820,5128,41,0
33328,7151,6582,8978,6648,28354,1950,9,2155,155,583,6707,14577,3227,406,384,1120,963,1893,6650,18989,638,8926,3597,29897,2329,17233,108,14
33330,2411,2357,3821,2536,9896,1605,23,895,87,165,1998,5789,1925,59,105,160,153,372,3215,7355,365,3244,1405,11330,466,6566,31,0
33331,4397,3877,5811,4026,17821,1311,82,1550,42,143,2829,8046,2931,91,183,379,284,839,4703,10992,563,5715,1872,19014,1598,9732,24,35
33332,3594,3651,4926,2716,15839,1090,294,1347,17,237,1604,6857,2476,310,165,468,367,535,3698,8514,896,4964,927,17893,1192,7261,12,0
33334,1006,1613,1702,1657,5763,385,0,309,0,218,1540,2091,575,120,342,458,440,687,988,3821,347,1785,751,4806,1689,3230,98,0
33335,415,580,577,254,1392,507,17,26,0,57,590,482,88,28,95,225,165,100,193,1317,81,394,233,1288,640,829,141,0
33338,727,1149,1042,716,3527,347,0,35,0,56,650,1899,512,36,246,307,212,322,816,2471,40,1051,290,3092,765,1964,62,0
33346,567,773,1193,1052,3230,289,0,145,0,45,731,1783,577,198,151,418,205,460,703,2025,81,1438,517,2797,442,1695,0,0
